"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**";"JLCPCB Tooling Hole";3;"JLCPCB Tooling Hole";;;
2;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AS5600";;;
3;"U1";"Seeeduino_Xiao";1;"Seeeduiono_Xiao";;;
4;"SW2";"Kailh_socket_MX_SMD_RGB";1;"SW_SPST_LED_RGB";;;
5;"R10,R9,R8,R1";"R_0805_2012Metric";4;"5.1k";;;
6;"Q3,Q2,Q1";"SOT-23";3;"MMBT3904";;;
7;"R7,R6";"R_0805_2012Metric";2;"10R";;;
8;"R5";"R_0805_2012Metric";1;"68R";;;
9;"J1";"SM05B-NSHSS-TBLFSN";1;"TO ARM";;;
10;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole";;;
11;"C1";"C_0805_2012Metric";1;"100nF";;;
12;"R2,R3,R4";"R_0805_2012Metric";3;"10k";;;
13;"U2";"SOT-363_SC-70-6";1;"NC7SB3257P6X";;;
